dataParameter,variables,limits
temperature,"['sea_water_temperature','temperature']","[-5,35]"
conductivity,"['sea_water_electrical_conductivity']","[0,9]"
salinity,"['sea_water_practical_salinity']","[0,42]"
pressure,"['sea_water_pressure','int_ctd_pressure']","[0,6000]"
oxygen,"['corrected_dissolved_oxygen','dissolved_oxygen']","[0,500]"
chlorophyll,"['fluorometric_chlorophyll_a','flntu_x_mmp_cds_fluorometric_chlorophyll_a']","[0,50]"
backscatter,"['optical_backscatter','flntu_x_mmp_cds_bback_total']","[0,5]"
cdom,"['fluorometric_cdom','total_volume_scattering_coefficient','flcdr_x_mmp_cds_fluorometric_cdom']","[0,375]"
volume_scattering,"['flntu_x_mmp_cds_total_volume_scattering_coefficient']","[0,375]"
nitrate,"['nitrate_concentration','salinity_corrected_nitrate']","[0,300]"
pco2,"['pco2_seawater']","[200,2000]"
ph,"['ph_seawater','signal_intensity_434','signal_intensity_578']","[6.9,9]"
par,"['par_counts_output']","[0,5000]"
bottom_temperature,"['temperature1','temperature2','temperature3','pressure_temp','hpies_temperature','temperature01','temperature02','temperature03','temperature04','temperature05','temperature06','temperature07','temperature08','temperature09','temperature10','temperature11','temperature12','temperature13','temperature14','temperature15','temperature16','temperature17','temperature18','temperature19','temperature20','temperature21','temperature22','temperature23','temperature24']","[-5,50]"
spectral_irradiance_412nm,"['spkir_downwelling_vector_412nm']","[0,300]"
spectral_irradiance_443nm,"['spkir_downwelling_vector_443nm']","[0,300]"
spectral_irradiance_490nm,"['spkir_downwelling_vector_490nm']","[0,300]"
spectral_irradiance_510nm,"['spkir_downwelling_vector_510nm']","[0,300]"
spectral_irradiance_555nm,"['spkir_downwelling_vector_555nm']","[0,300]"
spectral_irradiance_620nm,"['spkir_downwelling_vector_620nm']","[0,300]"
spectral_irradiance_683nm,"['spkir_downwelling_vector_683nm']","[0,300]"
velocity_east,"['velpt_d_eastward_velocity','eastward_seawater_velocity','vel3d_c_eastward_turbulent_velocity','eastward_turbulent_velocity','vel3d_a_eastward_velocity','vadcp_b_beam_eastward']","[-5,5]"
velocity_north,"['velpt_d_northward_velocity','northward_seawater_velocity','vel3d_c_northward_turbulent_velocity','northward_turbulent_velocity','vel3d_a_northward_velocity','vadcp_b_beam_northward']","[-5,5]"
velocity_up,"['velpt_d_upward_velocity','upward_seawater_velocity','vel3d_c_upward_turbulent_velocity','upward_turbulent_velocity','vel3d_a_upward_velocity_ascending','vel3e_a_upward_velocity_descending','vadcp_b_beam_vertical_true']","[-5,5]"
vent_temperature,"['vent_fluid_temperature']","[0,400]"
vent_chloride,"['vent_fluid_chloride_conc']","[0,600]"
seafloor_pressure,"['seafloor_pressure','hpies_pressure_L1']","[0,4137]"
absolute_pressure,"['absolute_pressure']","[0,6000]"
bottom_pressure_psi,"['bottom_pressure']","[1500,3200]"
mean_seafloor_depth,"['botsflu_meandepth']","[1000,2000]"
seafloor_uplift_10m,"['botsflu_10minrate]']","[-1000,1000]"
seafloor_uplift_5m,"['botsflu_5minrate']","[-100,100]"
pitch,"['pitch']","[-70,70]"
roll,"['roll']","[-70,70]"
